blind_id,condition_id,status,failure_cause,planned_replicates,completed_replicates,failed_replicates,failure_rate,spin_true,inclination_deg,eddington_ratio,f_col_true,f_col_fit,inner_stress_delta_eta,mean_bias,median_bias,rmse,mean_width_68,mean_width_95,coverage_68,coverage_95,mean_chi2_per_dof,mean_runtime_s
blind_5f6e3ced47a6,ap0p500-i40p0-l0p180-fc1p70-de0p020,COMPLETED,,100,100,0,0.0,0.5,40.0,0.18,1.7,1.7,0.02,0.10840227197049344,0.1067507321756867,0.10875599812450062,0.023549548451354742,0.040491457588339566,0.0,0.0,1.0524774949613926,0.0010047150019090623
blind_9c3861e5ece6,ap0p500-i40p0-l0p180-fc1p90-de0p000,COMPLETED,,100,100,0,0.0,0.5,40.0,0.18,1.9,1.7,0.0,0.4979999999563131,0.4979999999999999,0.49799999995631306,0.016966000029707134,0.02370250004150257,0.0,0.0,161.0556981389925,0.0009671750024426728
blind_3adff25df098,ap0p500-i40p0-l0p180-fc1p90-de0p020,COMPLETED,,100,100,0,0.0,0.5,40.0,0.18,1.9,1.7,0.02,0.49800000000000005,0.498,0.498,0.016966000000000037,0.02370249999999995,0.0,0.0,163.4345352447756,0.0010021379962563515
blind_c81aa28d50fe,ap0p500-i70p0-l0p060-fc1p70-de0p020,COMPLETED,,100,100,0,0.0,0.5,70.0,0.06,1.7,1.7,0.02,0.1026598588768054,0.09921401558864462,0.10289797912618827,0.019634448929309864,0.03256272387028458,0.0,0.0,1.0703367677674052,0.017027354006422683
blind_8db010a5d62e,ap0p500-i70p0-l0p060-fc1p90-de0p000,COMPLETED,,100,100,0,0.0,0.5,70.0,0.06,1.9,1.7,0.0,0.49800000000000005,0.498,0.498,0.016966000000000037,0.02370249999999995,0.0,0.0,227.245013332003,0.0009838189906440674
blind_4b028e2367c2,ap0p500-i70p0-l0p060-fc1p90-de0p020,COMPLETED,,100,100,0,0.0,0.5,70.0,0.06,1.9,1.7,0.02,0.49800000000000005,0.498,0.498,0.016966000000000037,0.02370249999999995,0.0,0.0,236.36261930732576,0.0010185559978708625
blind_9aee2b771a21,ap0p500-i70p0-l0p180-fc1p70-de0p020,COMPLETED,,100,100,0,0.0,0.5,70.0,0.18,1.7,1.7,0.02,0.10459489990689161,0.10111115771005741,0.1049071361528374,0.02313983019966236,0.03991690599260709,0.0,0.0,1.0738292732105992,0.0010121379990596325
blind_45996eeadf25,ap0p500-i70p0-l0p180-fc1p90-de0p000,COMPLETED,,100,100,0,0.0,0.5,70.0,0.18,1.9,1.7,0.0,0.49800000000000005,0.498,0.498,0.016966000000000037,0.02370249999999995,0.0,0.0,192.8345685051766,0.0009783479943871497
blind_e887dfb07f19,ap0p500-i70p0-l0p180-fc1p90-de0p020,COMPLETED,,100,100,0,0.0,0.5,70.0,0.18,1.9,1.7,0.02,0.49800000000000005,0.498,0.498,0.016966000000000037,0.02370249999999995,0.0,0.0,200.58433819100824,0.0010263440059497953
blind_723aaba0242e,ap0p900-i40p0-l0p060-fc1p70-de0p020,COMPLETED,,100,100,0,0.0,0.9,40.0,0.06,1.7,1.7,0.02,0.020178289694549233,0.023129070718291345,0.021268384229507206,0.018567656251490865,0.02805971157395861,0.12,0.96,1.1652776926798913,0.027557642996544018
