blind_id,replicate_index,status,failure_cause,spin_map,spin_mean,ci68_lower,ci68_upper,ci95_lower,ci95_upper,chi2_per_dof,runtime_s,noise_seed
blind_cd385610e651,34,COMPLETED,,0.8165322848281275,0.7451200547139527,0.7185796933404295,0.8156553513441503,0.7146032934582567,0.8197314145709943,13.810772226050426,1.2697400999968522,1645057998
blind_cd385610e651,35,COMPLETED,,0.6595370317021931,0.5692783710094187,0.5577540918159439,0.570548095618332,0.5524367911853707,0.6599210097595326,26.661042276376826,1.2901381999981822,1253130094
blind_cd385610e651,36,COMPLETED,,0.8123928528745792,0.7301790952986981,0.7211514535215128,0.7294299582818394,0.7176600774486299,0.8123928528745792,8.730811495769522,1.2714103999969666,3072351924
blind_cd385610e651,37,COMPLETED,,0.8166818291725797,0.747110906112413,0.7201907843282965,0.8166692288989025,0.7159262018867748,0.8193233400070654,7.797044449263962,1.2676099999953294,3212970201
blind_cd385610e651,38,COMPLETED,,0.8139911435167869,0.753576258222871,0.723796315189719,0.815432949839663,0.39967309428172754,0.8178014277280382,6.907176348061615,1.2473908000029041,2994912855
blind_cd385610e651,39,COMPLETED,,0.8149127413787416,0.7521505396642414,0.7251780519439134,0.8147924939181722,0.7201951935523897,0.817567980867674,8.831692684568049,1.2643190000017057,1818947796
blind_cd385610e651,40,COMPLETED,,0.8113783245462942,0.7581904470950989,0.725521300913577,0.812067490346739,0.7196472408514071,0.8141241724009503,7.033354337076317,1.254633399999875,138662279
blind_cd385610e651,41,COMPLETED,,0.8141369035902031,0.7577190276490279,0.7211909250548908,0.8146745116847627,0.716814051452778,0.8171251719780555,8.890016175735635,1.2683118999993894,1119537694
blind_cd385610e651,42,COMPLETED,,0.8133399837865632,0.7332472032397805,0.7223070612033239,0.8125912633042772,0.3994752677765588,0.8151442586965151,8.938434088147492,1.2453882000045269,2672638735
blind_cd385610e651,43,COMPLETED,,0.8178249217463293,0.7435926398479702,0.7208840025456923,0.8183863310808693,0.38284850027402806,0.8215875408736986,10.251125746356092,1.2322059999933117,52212109
blind_cd385610e651,44,COMPLETED,,0.8142009727266575,0.7405970803056627,0.722950873812013,0.8121482994683176,0.7181241796754354,0.8154969436445866,9.340605704430226,1.25306830000045,2054230711
blind_cd385610e651,45,COMPLETED,,0.722910819088386,0.650816460661396,0.5657525756530457,0.7254697265160275,0.5586642725210113,0.7302469611053506,8.776166475556606,1.2940433000039775,422554751
blind_cd385610e651,46,COMPLETED,,0.7235658230333322,0.7044063340011317,0.716744678997305,0.7274374407386225,0.5615212648775837,0.7322542455116208,8.510488567589483,1.2878927999990992,103252687
blind_cd385610e651,47,COMPLETED,,0.7231808762565003,0.7094272791806177,0.7177247199676252,0.727353714363947,0.5591380007614787,0.7321385784194337,8.671332146649002,1.2650164000006043,4185061544
blind_cd385610e651,48,COMPLETED,,0.720760277749336,0.7625342355222965,0.7190319454487174,0.8142584911306499,0.7093158623713111,0.8168592994307678,9.11994404572521,1.2585699999981443,898402752
blind_cd385610e651,49,COMPLETED,,0.7218339453687661,0.614005872452609,0.5608213044828715,0.721654131723834,0.5548955105891473,0.7279674221265845,12.271751283978864,1.256568500000867,2595866801
blind_cd385610e651,50,COMPLETED,,0.8172227898874909,0.7770049838902645,0.7231317917203516,0.8189010432718755,0.7193165895365036,0.8216775634798159,8.895332912867149,1.2553044999949634,3415561411
blind_cd385610e651,51,COMPLETED,,0.8171298126103096,0.7657867434951419,0.7233928270446343,0.8185265804551318,0.7193791502744509,0.8210356386256727,10.279344869583438,1.279703199994401,2735499939
blind_cd385610e651,52,COMPLETED,,0.8154202259278949,0.7280715982331543,0.7184755010707069,0.8154780265301097,0.5198097120004104,0.819801187928795,9.346525108587612,1.2600316000025487,3776575564
blind_cd385610e651,53,COMPLETED,,0.7242002167106836,0.7210532658182904,0.7197047930915595,0.8098992325730434,0.4057682165783624,0.8134130675487505,9.737201273941322,1.2308291000008467,2391766489
blind_cd385610e651,54,COMPLETED,,0.8158412381101937,0.7635760845559738,0.7207195106460196,0.816253864457414,0.7165990450980007,0.8193440957861601,9.028215589197664,1.2508153000017046,2367635115
