condition_id,replicate_index,status,failure_cause,spin_true,spin_map,spin_mean,bias,ci68_lower,ci68_upper,ci95_lower,ci95_upper,chi2_per_dof,runtime_s,noise_seed
ap0p500-i40p0-l0p060-fc1p90-de0p020,8,COMPLETED,,0.5,0.9480999999999999,0.944877038405108,0.44487703840510795,0.9171968680555497,0.9679843564743248,0.8919609948301009,0.9884940096760821,1.118826613770228,0.010994200012646616,4121561153
ap0p500-i40p0-l0p060-fc1p90-de0p020,9,COMPLETED,,0.5,0.9680599999999999,0.9626779603806256,0.4626779603806256,0.9376586229291639,0.9832377218868593,0.9130927689822504,0.9951962047200337,1.1117559562061625,0.01085429999511689,1471879326
ap0p500-i40p0-l0p060-fc1p90-de0p020,10,COMPLETED,,0.5,0.9331299999999998,0.9321888983699016,0.4321888983699016,0.9039018749729302,0.9557631879416763,0.8786549251892374,0.9796028544061108,1.2507653837470087,0.01088270009495318,2166062641
ap0p500-i40p0-l0p060-fc1p90-de0p020,11,COMPLETED,,0.5,0.9381199999999998,0.9387243127619689,0.4387243127619689,0.9106200726182245,0.9621361329859027,0.8853116543502636,0.984663707940468,0.7488609630929578,0.011035699979402125,975308541
ap0p500-i40p0-l0p060-fc1p90-de0p020,12,COMPLETED,,0.5,0.9530899999999998,0.9492044992101688,0.4492044992101688,0.9218981708720704,0.9720697627270966,0.8967210942472637,0.9908580657436008,1.0585588571751663,0.01090920006390661,37222162
ap0p500-i40p0-l0p060-fc1p90-de0p020,13,COMPLETED,,0.5,0.97305,0.9656117864685188,0.46561178646851875,0.9412917538346957,0.9853562530182922,0.9168544169242144,0.9957377306294942,0.8231539145851692,0.010985800065100193,3288757
ap0p500-i40p0-l0p060-fc1p90-de0p020,14,COMPLETED,,0.5,0.92814,0.9292332086435582,0.4292332086435582,0.9008129554195197,0.9527472970694918,0.8754629583720351,0.9770473340262548,1.5108963464586793,0.010916100000031292,605208017
ap0p500-i40p0-l0p060-fc1p90-de0p020,15,COMPLETED,,0.5,0.8981999999999999,0.898410193530534,0.398410193530534,0.8698047346993472,0.9220128721180922,0.8444749311585814,0.9473025960489426,1.2117283153685459,0.010919700027443469,4252827663
ap0p500-i40p0-l0p060-fc1p90-de0p020,16,COMPLETED,,0.5,0.9680599999999999,0.9619236588193264,0.4619236588193264,0.9366627192666294,0.9826883430604293,0.9119595392730391,0.9950355758066078,0.904906719878937,0.010951500036753714,944959544
ap0p500-i40p0-l0p060-fc1p90-de0p020,17,COMPLETED,,0.5,0.9480999999999999,0.9459255356599662,0.4459255356599662,0.918383196672016,0.9690347663581081,0.8932628593703849,0.9891472948804254,0.8041049317033753,0.01178019994404167,1556248383
ap0p500-i40p0-l0p060-fc1p90-de0p020,18,COMPLETED,,0.5,0.998,0.9874192045506414,0.48741920455064136,0.97425457400674,0.9951635251908414,0.9563956340405747,0.997556800811069,1.5589284115877804,0.010777399991638958,1920164694
ap0p500-i40p0-l0p060-fc1p90-de0p020,19,COMPLETED,,0.5,0.9580799999999998,0.9540226695285979,0.45402266952859793,0.9273346816186738,0.9763778522728869,0.9023001502228264,0.9926941901017642,0.8188022435865537,0.01073859992902726,2779482700
ap0p500-i40p0-l0p180-fc1p70-de0p000,0,COMPLETED,,0.5,0.4790399999999999,0.4767918281904483,-0.023208171809551703,0.45050259749546895,0.4980650445496818,0.4273818996715766,0.521236631700346,1.1345777641827777,0.011016800068318844,3340568024
ap0p500-i40p0-l0p180-fc1p70-de0p000,1,COMPLETED,,0.5,0.48402999999999996,0.4826073907683923,-0.01739260923160768,0.45629482262851434,0.5038187778658441,0.4332896890093849,0.5270474913328373,1.273657734624038,0.010841300012543797,4233549995
ap0p500-i40p0-l0p180-fc1p70-de0p000,2,COMPLETED,,0.5,0.50898,0.5088550652484121,0.008855065248412064,0.4825629336898682,0.5301444213707475,0.45957252334593895,0.5531826333263619,0.8549255255759104,0.010731799993664026,141089768
ap0p500-i40p0-l0p180-fc1p70-de0p000,3,COMPLETED,,0.5,0.46407,0.46265187882250985,-0.037348121177490146,0.4363392568556913,0.4838628708452091,0.4133348613782573,0.5070918039731358,0.9776121100249178,0.010641499888151884,1471350394
