a_star,radius_rg,zero_torque_flux,stressed_flux_delta_eta_0p02
-0.5,27.3479079829208,1.957345324414571e-07,2.3481148111634346e-07
-0.5,27.564606701401004,1.923602758210819e-07,2.303319293955291e-07
-0.5,27.78302249215676,1.8903400878476983e-07,2.2593199571205967e-07
-0.5,28.00316896088545,1.8575539233527804e-07,2.2161042211231562e-07
-0.5,28.225059821093076,1.8252407604808054e-07,2.1736596645196016e-07
-0.5,28.44870889494831,1.7933969879403754e-07,2.1319740229030744e-07
-0.5,28.674130114143658,1.7620188943562844e-07,2.091035187842834e-07
-0.5,28.901337520763224,1.731102674974689e-07,2.050831205818492e-07
-0.5,29.13034526815747,1.7006444381185437e-07,2.0113502771480573e-07
-0.5,29.361167621824826,1.6706402114008068e-07,1.9725807549093565e-07
-0.5,29.593818960300364,1.6410859477022489e-07,1.9345111438539882e-07
-0.5,29.828313776051452,1.611977530921007e-07,1.8971300993135365e-07
-0.5,30.064666676380536,1.5833107815001793e-07,1.8604264260971895e-07
-0.5,30.30289238433508,1.555081461740816e-07,1.8243890773811927e-07
-0.5,30.543005739624633,1.5272852809063483e-07,1.7890071535895106e-07
-0.5,30.78502169954539,1.4999179001246599e-07,1.7542699012654317e-07
-0.5,31.028955339911704,1.4729749370942417e-07,1.7201667119343445e-07
-0.5,31.274821855995437,1.4464519706005107e-07,1.686687120957714e-07
-0.5,31.522636563472275,1.4203445448478985e-07,1.6538208063780706e-07
-0.5,31.772414899376017,1.3946481736136618e-07,1.6215575877553112e-07
-0.5,32.024172423059966,1.3693583442288118e-07,1.589887424994296e-07
-0.5,32.27792481716633,1.3444705213920816e-07,1.5588004171643876e-07
-0.5,32.53368788860306,1.3199801508215292e-07,1.5282868013104653e-07
-0.5,32.79147756952851,1.2958826627497945e-07,1.49833695125651e-07
-0.5,33.05130991834391,1.2721734752671522e-07,1.4689413764011705e-07
-0.5,33.31320112069367,1.2488479975182587e-07,1.440090720506608e-07
-0.5,33.57716749047365,1.2259016327565663e-07,1.411775760480168e-07
-0.5,33.84322547084732,1.203329781261542e-07,1.3839874051497219e-07
-0.5,34.11139163527022,1.1811278431229885e-07,1.3567166940328283e-07
-0.5,34.38168268852211,1.1592912208971161e-07,1.3299547961003633e-07
-0.5,34.65411546774785,1.1378153221384798e-07,1.3036930085348408e-07
