a_star,delta_eta,inclination_deg,energy_kev,bin_energy_flux
0.9,0.0,40.0,0.2700493424768354,1.3475575973557355e-05
0.9,0.0,40.0,0.3367591262276594,2.451658061705849e-05
0.9,0.0,40.0,0.41994810302989205,4.3838717263014055e-05
0.9,0.0,40.0,0.5236870971068577,7.66529241821426e-05
0.9,0.0,40.0,0.6530525407723684,0.00013017704204214018
0.9,0.0,40.0,0.8143748879156055,0.0002127918611259243
0.9,0.0,40.0,1.015548392604334,0.00033079103999913105
0.9,0.0,40.0,1.2664174117168074,0.0004812374758257363
0.9,0.0,40.0,1.5792581351899757,0.0006414893023470956
0.9,0.0,40.0,1.969379317189484,0.0007623798714175706
0.9,0.0,40.0,2.455871404776498,0.0007804599749936431
0.9,0.0,40.0,3.0625407224273116,0.000659829810400909
0.9,0.0,40.0,3.819074426406774,0.0004381027814952947
0.9,0.0,40.0,4.762493235640691,0.0002152821073610874
0.9,0.0,40.0,5.938963027977272,7.297213685011724e-05
0.9,0.0,40.0,7.406053951683143,1.5673110979690197e-05
0.9,0.0,40.0,9.235557601024922,1.9213850297864482e-06
0.9,0.0,40.0,11.517000113463189,1.1792974144610126e-07
0.9,0.0,40.0,14.362023100672461,3.0690298104277126e-09
0.9,0.0,40.0,17.909846792753406,2.7417005585483996e-11
0.9,0.02,40.0,0.1116704136636853,1.1062387770156873e-06
0.9,0.02,40.0,0.13925614699132163,2.0920568099292e-06
0.9,0.02,40.0,0.17365633240395936,3.930863076552731e-06
0.9,0.02,40.0,0.21655433124883,7.325443375862485e-06
0.9,0.02,40.0,0.2700493424768354,1.3509242013684884e-05
0.9,0.02,40.0,0.3367591262276594,2.4581198577461285e-05
0.9,0.02,40.0,0.41994810302989205,4.3962043535424354e-05
0.9,0.02,40.0,0.5236870971068577,7.68862503515217e-05
0.9,0.02,40.0,0.6530525407723684,0.00013061259362270067
0.9,0.02,40.0,0.8143748879156055,0.00021358840273734956
0.9,0.02,40.0,1.015548392604334,0.0003322032421701868
0.9,0.02,40.0,1.2664174117168074,0.00048362777821339014
0.9,0.02,40.0,1.5792581351899757,0.0006452693194847956
0.9,0.02,40.0,1.969379317189484,0.000767803770990224
0.9,0.02,40.0,2.455871404776498,0.0007872601236616955
0.9,0.02,40.0,3.0625407224273116,0.0006669426766265705
0.9,0.02,40.0,3.819074426406774,0.00044398234812043796
0.9,0.02,40.0,4.762493235640691,0.00021889094713657667
0.9,0.02,40.0,5.938963027977272,7.450254983990501e-05
0.9,0.02,40.0,7.406053951683143,1.6084722326013182e-05
0.9,0.02,40.0,9.235557601024922,1.984613918673815e-06
0.9,0.02,40.0,11.517000113463189,1.227955862699903e-07
0.9,0.02,40.0,14.362023100672461,3.2279026094187123e-09
0.9,0.02,40.0,17.909846792753406,2.919908099347648e-11
