a_star,inclination_deg,alpha,beta,emission_radius,redshift,emission_mu
0.0,40.0,-1.75,-50.75,64.27089432536687,0.9752317707503959,0.7693461604216362
0.0,40.0,1.75,-50.75,64.27089432536687,0.9794980204568553,0.7727117427678091
0.0,40.0,5.25,-50.75,64.49027095512692,0.9838505495013056,0.7756501046401637
0.0,40.0,8.75,-50.75,64.92606345475645,0.9882225589568341,0.7781295484225687
0.0,40.0,12.25,-50.75,65.57258835205481,0.9925485927069454,0.7801439694090185
0.0,40.0,15.75,-50.75,66.42187002395606,0.9967684390771423,0.7817100059977019
0.0,40.0,19.25,-50.75,67.4641868996829,1.0008301501203074,0.7828618257731244
0.0,40.0,22.75,-50.75,68.68864890834729,1.0046919080493113,0.7836448842761846
0.0,40.0,26.25,-50.75,70.08373515371369,1.0083227229286762,0.7841099029159606
0.0,40.0,29.75,-50.75,71.6377457162959,1.0117021404336224,0.7843079220739161
0.0,40.0,33.25,-50.75,73.33914830637221,1.0148192395249187,0.7842868078505713
0.0,40.0,36.75,-50.75,75.1768218269107,1.0176712145016529,0.784089194996431
0.0,40.0,40.25,-50.75,77.14021123040608,1.0202617939218113,0.7837516101090859
0.0,40.0,43.75,-50.75,79.21941312263108,1.0225996820867007,0.7833044318082204
0.0,40.0,-50.75,-47.25,79.84756684580262,0.9391389161017649,0.7179471063728294
0.0,40.0,-47.25,-47.25,77.47048065081108,0.9396274191843269,0.7203079446559082
0.0,40.0,-43.75,-47.25,75.18959518084192,0.9403135066278492,0.7229581090106548
0.0,40.0,-40.25,-47.25,73.0140014485398,0.9412254527309071,0.7259190505780293
0.0,40.0,-36.75,-47.25,70.95364319428731,0.9423932261836849,0.72920731358743
0.0,40.0,-33.25,-47.25,69.01934564490443,0.9438476896272936,0.7328315605213465
0.0,40.0,-29.75,-47.25,67.22281125533637,0.9456193797195678,0.736788985757413
0.0,40.0,-26.25,-47.25,65.57656149563586,0.9477367834389204,0.741061337472708
0.0,40.0,-22.75,-47.25,64.09379697534314,0.9502240603473183,0.7456110131656346
0.0,40.0,-19.25,-47.25,62.78814416261967,0.9530982369107895,0.750377989168658
0.0,40.0,-15.75,-47.25,61.67325949704817,0.9563660292845894,0.7552786065808775
0.0,40.0,-12.25,-47.25,60.76227568281908,0.9600206318328631,0.760207321100788
0.0,40.0,-8.75,-47.25,60.0671044776043,0.9640390063102269,0.7650422552860716
0.0,40.0,-5.25,-47.25,59.59765311893759,0.9683803453984858,0.7696546540430185
0.0,40.0,-1.75,-47.25,59.361056542786166,0.972986362090208,0.7739212179798483
0.0,40.0,1.75,-47.25,59.361056542786166,0.9777837962923503,0.7777371359264516
0.0,40.0,5.25,-47.25,59.59765311893759,0.982689048835907,0.781027004015075
0.0,40.0,8.75,-47.25,60.0671044776043,0.987614297305638,0.7837511391321581
0.0,40.0,12.25,-47.25,60.76227568281908,0.9924740437255523,0.7859060618334944
0.0,40.0,15.75,-47.25,61.67325949704817,0.9971909663442888,0.7875196112088519
0.0,40.0,19.25,-47.25,62.78814416261967,1.001700215456729,0.7886425179638508
0.0,40.0,22.75,-47.25,64.09379697534314,1.005951764509776,0.789338794534144
0.0,40.0,26.25,-47.25,65.57656149563586,1.009910898033562,0.7896769798354547
0.0,40.0,29.75,-47.25,67.22281125533637,1.013557237476632,0.7897234606475144
0.0,40.0,33.25,-47.25,69.01934564490443,1.0168828304416297,0.7895382270778978
0.0,40.0,36.75,-47.25,70.95364319428731,1.0198897980810246,0.7891727987324594
0.0,40.0,40.25,-47.25,73.0140014485398,1.022587921835336,0.7886697615300173
0.0,40.0,43.75,-47.25,75.18959518084192,1.0249924168548334,0.7880633152841754
0.0,40.0,47.25,-47.25,77.47048065081108,1.027122022709549,0.7873803360602005
0.0,40.0,50.75,-47.25,79.84756684580262,1.0289974567645734,0.7866416074159083
0.0,40.0,-54.25,-43.75,78.70672310559397,0.9351060332243095,0.7151786038089799
0.0,40.0,-50.75,-43.75,76.14685608165132,0.9352279212991947,0.7172201831468152
0.0,40.0,-47.25,-43.75,73.67180913182757,0.9355230277313106,0.7195558147170253
0.0,40.0,-43.75,-43.75,71.29024145536128,0.9360223449707825,0.722218985574541
0.0,40.0,-40.25,-43.75,69.01176593757845,0.9367604401680343,0.725242107615071
0.0,40.0,-36.75,-43.75,66.84703207855165,0.9377751613628004,0.7286539016855553
0.0,40.0,-33.25,-43.75,64.80779708852222,0.9391069424598878,0.7324757448474805
0.0,40.0,-29.75,-43.75,62.906969225120996,0.9407975480397309,0.7367168941867452
0.0,40.0,-26.25,-43.75,61.1585976957275,0.942888082101489,0.7413687051403914
0.0,40.0,-22.75,-43.75,59.57777163217013,0.9454161011386293,0.7463983213473728
0.0,40.0,-19.25,-43.75,58.18037973427594,0.9484117530729093,0.7517428283783975
0.0,40.0,-15.75,-43.75,56.98267719910267,0.9518930449472474,0.7573054457293394
0.0,40.0,-12.25,-43.75,56.000619543833515,0.9558606490594972,0.76295574789551
0.0,40.0,-8.75,-43.75,55.248960575654124,0.9602930550558636,0.7685357816352859
0.0,40.0,-5.25,-43.75,54.740179254225694,0.9651432418580035,0.7738729197076611
0.0,40.0,-1.75,-43.75,54.48338101570561,0.9703381539795065,0.7787983168327637
0.0,40.0,1.75,-43.75,54.48338101570561,0.9757819009118108,0.7831674956914482
0.0,40.0,5.25,-43.75,54.740179254225694,0.9813627146671894,0.7868780470655444
0.0,40.0,8.75,-43.75,55.248960575654124,0.9869625782428592,0.7898797690154359
0.0,40.0,12.25,-43.75,56.000619543833515,0.9924675897270172,0.792174939858936
0.0,40.0,15.75,-43.75,56.98267719910267,0.9977769773360382,0.7938097064274874
0.0,40.0,19.25,-43.75,58.18037973427594,1.0028092685956846,0.7948601158259152
0.0,40.0,22.75,-43.75,59.57777163217013,1.0075050892547568,0.7954170724012425
0.0,40.0,26.25,-43.75,61.1585976957275,1.011826955602902,0.7955735724536669
0.0,40.0,29.75,-43.75,62.906969225120996,1.015756934985384,0.7954158638596677
0.0,40.0,33.25,-43.75,64.80779708852222,1.019293153592695,0.7950186268883178
0.0,40.0,36.75,-43.75,66.84703207855165,1.0224459667687562,0.7944433523554263
0.0,40.0,40.25,-43.75,69.01176593757845,1.0252343408323872,0.7937388069155153
0.0,40.0,43.75,-43.75,71.29024145536128,1.0276827434085063,0.7929425963224419
0.0,40.0,47.25,-43.75,73.67180913182757,1.0298186508060885,0.792083119630474
0.0,40.0,50.75,-43.75,76.14685608165132,1.0316706627595524,0.7911814915274382
0.0,40.0,54.25,-43.75,78.70672310559397,1.03326715299125,0.7902532264602559
0.0,40.0,-57.75,-40.25,77.99061170333792,0.931433643877579,0.7125335062222468
0.0,40.0,-54.25,-40.25,75.25948184850674,0.9311765386285016,0.7141969428682884
0.0,40.0,-50.75,-40.25,72.6012133248106,0.931057383496674,0.7161387300645694
0.0,40.0,-47.25,-40.25,70.02376263512328,0.9311069949186799,0.7184004728645828
0.0,40.0,-43.75,-40.25,67.53607550633562,0.931361270892432,0.7210267686976147
0.0,40.0,-40.25,-40.25,65.14820752774237,0.9318615295443826,0.7240636448892261
0.0,40.0,-36.75,-40.25,62.87145159532336,0.9326545890613251,0.7275558865654067
0.0,40.0,-33.25,-40.25,60.718464581209,0.9337924075943962,0.7315428773162482
0.0,40.0,-29.75,-40.25,58.703377905309445,0.9353310344745411,0.7360526066211457
0.0,40.0,-26.25,-40.25,56.84186354047432,0.937328555938694,0.7410936854347989
0.0,40.0,-22.75,-40.25,55.151108351015395,0.9398416782062423,0.7466456639964979
0.0,40.0,-19.25,-40.25,53.64962689680718,0.9429206321796203,0.7526487526854719
0.0,40.0,-15.75,-40.25,52.35682410285219,0.9466022935925043,0.7589951812869473
0.0,40.0,-12.25,-40.25,51.29222056184628,0.9509018840658447,0.7655255900314105
0.0,40.0,-8.75,-40.25,50.47429660315161,0.9558043783455881,0.7720343240274161
0.0,40.0,-5.25,-40.25,49.9190124784684,0.9612576220041363,0.7782863470513144
0.0,40.0,-1.75,-40.25,49.63820692207845,0.9671697060521677,0.7840451337976675
0.0,40.0,1.75,-40.25,49.63820692207845,0.9734127454482948,0.7891061118535462
0.0,40.0,5.25,-40.25,49.9190124784684,0.9798335709089777,0.7933264435719728
0.0,40.0,8.75,-40.25,50.47429660315161,0.9862694708427865,0.796641971392684
0.0,40.0,12.25,-40.25,51.29222056184628,0.9925652375198668,0.7990667615970869
0.0,40.0,15.75,-40.25,52.35682410285219,0.9985874719046306,0.800677416904086
0.0,40.0,19.25,-40.25,53.64962689680718,1.004233466816861,0.8015892752898592
0.0,40.0,22.75,-40.25,55.151108351015395,1.0094340854207837,0.8019324961286792
0.0,40.0,26.25,-40.25,56.84186354047432,1.0141517579673467,0.8018335290655098
0.0,40.0,29.75,-40.25,58.703377905309445,1.018375478434854,0.8014038856757655
0.0,40.0,33.25,-40.25,60.718464581209,1.0221146020187186,0.8007354213063025
0.0,40.0,36.75,-40.25,62.87145159532336,1.0253927364270972,0.7999001239888728
0.0,40.0,40.25,-40.25,65.14820752774237,1.028242449563022,0.7989523681962111
0.0,40.0,43.75,-40.25,67.53607550633562,1.0307010712304252,0.7979321087405142
0.0,40.0,47.25,-40.25,70.02376263512328,1.032807588964655,0.7968680982309012
0.0,40.0,50.75,-40.25,72.6012133248106,1.0346004980035268,0.7957806896733166
0.0,40.0,54.25,-40.25,75.25948184850674,1.0361164162235237,0.7946840864487369
0.0,40.0,57.75,-40.25,77.99061170333792,1.0373892759395187,0.7935880596124302
0.0,40.0,-61.25,-36.75,77.70190992894231,0.9282147817926127,0.7101538290494782
0.0,40.0,-57.75,-36.75,74.81377733265698,0.9275863585423797,0.711406687711241
0.0,40.0,-54.25,-36.75,71.98641800667566,0.9270525267749208,0.7129040750225317
0.0,40.0,-50.75,-36.75,69.22686665901799,0.926640855066852,0.7146905196302009
0.0,40.0,-47.25,-36.75,66.54312231395394,0.9263847749399023,0.716816847901166
0.0,40.0,-43.75,-36.75,63.9442899764882,0.9263245112478593,0.7193400095447383
0.0,40.0,-40.25,-36.75,61.44074163314558,0.9265079823914815,0.7223221065255151
0.0,40.0,-36.75,-36.75,59.04429653217683,0.9269915351553338,0.7258281383208598
0.0,40.0,-33.25,-36.75,56.768417219480554,0.9278402910876653,0.7299218174849641
0.0,40.0,-29.75,-36.75,54.628409627904965,0.9291277572674477,0.7346586912634717
0.0,40.0,-26.25,-36.75,52.6416004301881,0.9309341966217406,0.7400758525535192
0.0,40.0,-22.75,-36.75,50.82743827763476,0.9333430843578359,0.7461779426419464
0.0,40.0,-19.25,-36.75,49.20742658791266,0.9364348736688596,0.7529202238784206
0.0,40.0,-15.75,-36.75,47.804750703880984,0.9402774173846712,0.7601914479986636
0.0,40.0,-12.25,-36.75,46.643433628371426,0.9449129969986797,0.7678018701062745
0.0,40.0,-8.75,-36.75,45.74688756536954,0.9503432425959611,0.7754839585736609
0.0,40.0,-5.25,-36.75,45.1358689840862,0.9565151991068895,0.7829129342493253
0.0,40.0,-1.75,-36.75,44.826100775297455,0.9633135796310229,0.7897490004772858
0.0,40.0,1.75,-36.75,44.826100775297455,0.9705642661862064,0.795693297932247
0.0,40.0,5.25,-36.75,45.1358689840862,0.9780511171091889,0.8005402011978027
0.0,40.0,8.75,-36.75,45.74688756536954,0.9855428711656002,0.8042069989237374
0.0,40.0,12.25,-36.75,46.643433628371426,0.9928224730846166,0.8067313646221019
0.0,40.0,15.75,-36.75,47.804750703880984,0.99971051503066,0.8082416635235852
