group_id,status,failure_cause,spin_true,inclination_deg,f_col_true,f_col_fit,inner_stress_delta_eta,epoch_count,eddington_ratios,planned_replicates,completed_replicates,failed_replicates,failure_rate,mean_single_epoch_bias,mean_joint_bias,mean_single_epoch_abs_bias,mean_joint_abs_bias,single_epoch_rmse,joint_rmse,mean_single_epoch_width_68,mean_joint_width_68,mean_single_epoch_width_95,mean_joint_width_95,coverage_68_single_epoch,coverage_68_joint,coverage_95_single_epoch,coverage_95_joint,width_68_reduction_fraction,width_95_reduction_fraction,joint_abs_bias_minus_single_epoch_abs_bias
multi_38d2fde977d6,COMPLETED,,0.0,70.0,1.9,1.7,0.0,2,0.06;0.18,100,100,0,0.0,0.9979999999960019,0.9980000000000001,0.9979999999960019,0.9980000000000001,0.9979999999960016,0.9979999999999999,0.01696600000271876,0.016966000000000037,0.023702500003798185,0.02370249999999995,0.0,0.0,0.0,0.0,1.6024548354920398e-10,1.6024626070532122e-10,3.998246178582576e-12
multi_3b6d842329cc,COMPLETED,,0.0,70.0,1.9,1.7,0.02,2,0.06;0.18,100,100,0,0.0,0.9980000000000001,0.9980000000000001,0.9980000000000001,0.9980000000000001,0.9979999999999999,0.9979999999999999,0.016966000000000037,0.016966000000000037,0.02370249999999995,0.02370249999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multi_f04d2b522b76,COMPLETED,,0.5,40.0,1.7,1.7,0.02,2,0.06;0.18,100,100,0,0.0,0.10594619521556867,0.10371118894781509,0.10594619521556867,0.10371118894781509,0.10612501335909427,0.10403765647116629,0.02166840129774206,0.01939724506263672,0.03706333910170853,0.03033073755156975,0.0,0.0,0.0,0.0,0.10481420405214692,0.1816512411810306,-0.002235006267753581
multi_8a2fdbad8559,COMPLETED,,0.5,40.0,1.9,1.7,0.0,2,0.06;0.18,100,100,0,0.0,0.497999999999913,0.49800000000000005,0.497999999999913,0.49800000000000005,0.4979999999999131,0.498,0.016966000000059135,0.016966000000000037,0.023702500000082546,0.02370249999999995,0.0,0.0,0.0,0.0,3.4833247397614286e-12,3.4847680296934413e-12,8.704148513061227e-14
multi_12936dc14a10,COMPLETED,,0.5,40.0,1.9,1.7,0.02,2,0.06;0.18,100,100,0,0.0,0.49800000000000005,0.49800000000000005,0.49800000000000005,0.49800000000000005,0.498,0.498,0.016966000000000037,0.016966000000000037,0.02370249999999995,0.02370249999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multi_f7504fd7a9b7,COMPLETED,,0.5,70.0,1.7,1.7,0.02,2,0.06;0.18,100,100,0,0.0,0.10421646662270032,0.10252020549102772,0.10421646662270032,0.10252020549102772,0.10441401321670807,0.10278120545687355,0.021700969218573996,0.019099836800295488,0.037164682201350135,0.028926892598598854,0.0,0.0,0.0,0.0,0.1198624997842116,0.22165639835478035,-0.001696261131672594
multi_e4983123ff36,COMPLETED,,0.5,70.0,1.9,1.7,0.0,2,0.06;0.18,100,100,0,0.0,0.49800000000000005,0.49800000000000005,0.49800000000000005,0.49800000000000005,0.498,0.498,0.016966000000000037,0.016966000000000037,0.02370249999999995,0.02370249999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multi_cd7b6151956b,COMPLETED,,0.5,70.0,1.9,1.7,0.02,2,0.06;0.18,100,100,0,0.0,0.49800000000000005,0.49800000000000005,0.49800000000000005,0.49800000000000005,0.498,0.498,0.016966000000000037,0.016966000000000037,0.02370249999999995,0.02370249999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multi_050f0f9e11ae,COMPLETED,,0.9,40.0,1.7,1.7,0.02,2,0.06;0.18,100,100,0,0.0,0.01889561619125613,0.021239829736007333,0.019037341317402246,0.021351455383231865,0.01961623080523226,0.02204662698025745,0.019256850490618392,0.017495289008248767,0.029991891415462636,0.02596363737062562,0.18,0.04,0.965,0.98,0.0914771334610417,0.1343114373493699,0.0023141140658296186
multi_942f7091d1e9,COMPLETED,,0.9,40.0,1.9,1.7,0.0,2,0.06;0.18,100,100,0,0.0,0.098,0.098,0.098,0.098,0.09799999999999998,0.09799999999999998,0.016966000000000037,0.016966000000000037,0.02370249999999995,0.02370249999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multi_5aca7ecb458f,COMPLETED,,0.9,40.0,1.9,1.7,0.02,2,0.06;0.18,100,100,0,0.0,0.098,0.098,0.098,0.098,0.09799999999999998,0.09799999999999998,0.016966000000000037,0.016966000000000037,0.02370249999999995,0.02370249999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multi_1bde53b8af52,COMPLETED,,0.9,70.0,1.7,1.7,0.02,2,0.06;0.18,100,100,0,0.0,0.019215123914589162,0.020957692804121804,0.019309721542073718,0.021031887822803658,0.01989893004083788,0.021820120906309297,0.019563384595935377,0.017960612858599748,0.030525803387198028,0.02652109794346841,0.215,0.08,0.975,0.99,0.0819271189745272,0.13119082872063303,0.00172216628072994
multi_87445c59ca80,COMPLETED,,0.9,70.0,1.9,1.7,0.0,2,0.06;0.18,100,100,0,0.0,0.098,0.098,0.098,0.098,0.09799999999999998,0.09799999999999998,0.016966000000000037,0.016966000000000037,0.02370249999999995,0.02370249999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multi_a2c0ecaf2b02,COMPLETED,,0.9,70.0,1.9,1.7,0.02,2,0.06;0.18,100,100,0,0.0,0.098,0.098,0.098,0.098,0.09799999999999998,0.09799999999999998,0.016966000000000037,0.016966000000000037,0.02370249999999995,0.02370249999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
